SerieKey,Time,Value
28,2008,-1.887598871
28,2009,-1.031100662
28,2010,-0.818769045
28,2011,-1.887314027
28,2012,-1.051905233
28,2013,-1.379422162
28,2014,-0.977692215
28,2015,-1.839065884
28,2016,-2.212278968
28,2017,-2.422537216
28,2018,-1.943494865
28,2019,-1.87432809
28,2020,-1.629142828
28,2021,-1.383244402
29,1990,28.8961039
29,1991,31.59608969
29,1992,29.47811503
29,1993,26.90539991
29,1994,29.18925642
29,1995,29.96758089
29,1996,32.10727626
29,1997,33.33098338
29,1998,27.3631353
29,1999,29.9483021
29,2000,38.27231721
29,2001,34.99098673
29,2002,35.44892544
29,2003,37.07779449
29,2004,36.02421493
29,2005,40.76556467
29,2006,42.81450152
29,2007,39.43007383
29,2008,47.00069138
29,2009,36.87853816
29,2010,36.63695606
29,2011,39.85878107
29,2012,39.11070364
29,2013,35.7943859
29,2014,33.35095988
29,2015,29.95615747
29,2016,27.90748344
29,2017,29.57406337
29,2018,30.1075381
29,2019,30.42282499
29,2020,30.77397408
29,2021,31.16121683
30,1998,10.8642166
30,1999,10.76561302
30,2000,11.14495986
30,2001,42.92272003
30,2002,42.2963361
30,2003,43.79973492
30,2004,43.88758905
30,2005,45.10308439
30,2006,46.79792534
30,2007,47.25062904
30,2008,48.94610148
30,2009,44.17141674
30,2010,39.7214018
30,2011,37.08161633
30,2012,38.72207023
30,2013,39.31418011
30,2014,38.47066301
30,2015,40.72458888
30,2016,37.49630505
30,2017,37.70596785
30,2018,37.84456509
30,2019,37.96871997
30,2020,38.13433361
30,2021,38.33242188
31,1994,17.86791291
31,1995,17.57171244
31,1996,17.58598924
31,1997,19.15920995
31,1998,20.35268762
31,1999,18.47198421
31,2000,23.13491427
31,2001,21.79420157
31,2002,22.21209834
31,2003,28.07143294
31,2004,27.34924682
31,2005,25.10130802
31,2006,28.32973403
31,2007,28.48657936
31,2008,51.72140528
31,2009,41.98906198
31,2010,46.00760094
31,2011,45.50260262
31,2012,41.46183088
31,2013,39.47878594
31,2014,38.91439347
31,2015,33.75085182
31,2016,35.00851709
31,2017,37.57568696
31,2018,40.2909394
31,2019,44.44514759
31,2020,45.321917
31,2021,44.77827256
32,1996,47.82836625
32,1997,42.66413287
32,1998,33.7936016
32,1999,50.30376705
32,2000,52.41952562
32,2001,45.82169642
32,2002,35.07940691
32,2003,37.30434132
32,2004,37.15728845
32,2005,44.12519794
32,2006,50.17150294
32,2007,45.82279686
32,2008,50.93966562
32,2009,34.56078171
32,2010,43.47871448
32,2011,48.83539357
32,2012,45.89597933
32,2013,40.21639079
32,2014,35.32719042
32,2015,24.78406372
32,2016,20.99417423
32,2017,22.46511396
32,2018,22.92777604
32,2019,22.94619853
32,2020,22.87562298
32,2021,22.71095614
33,1990,3.185425685
33,1991,3.801042068
33,1992,0.751453045
33,1993,-5.915993962
33,1994,-1.864595939
